prune_threshold,subset_ratio,test_auc,watermark_auc
0.001,0.05,0.5039741462136431,0.6945054945054946
0.01,0.05,0.4971831601013189,0.6857142857142856
0.05,0.05,0.42599790374705215,0.7340659340659341
0.1,0.05,0.66237225958599,0.27252747252747256
0.2,0.05,0.5,0.5
