epoch,loss,test_auc,watermark_auc
10,0.4530335068702698,0.9752391944201485,0.24952962203315115
20,0.43178847432136536,0.9835167173283828,0.22589754658358685
30,0.4207026958465576,0.9867261905379701,0.22617376315158647
40,0.41657349467277527,0.9891008982403053,0.22800498984300413
50,0.41007518768310547,0.9908137243752565,0.22663697963425794
60,0.4090169072151184,0.9916692478169695,0.22296346536024547
70,0.4051794409751892,0.9926186267766381,0.22539695209739252
80,0.4043157994747162,0.9932926665627783,0.22255960767192792
90,0.4039716124534607,0.9939474311240614,0.22667600037297514
100,0.40031376481056213,0.9944100365206202,0.22802728538718248
