epoch,loss,test_auc,watermark_auc
10,0.6133005619049072,0.8717674891899349,0.31828267036446906
20,0.5015744566917419,0.9342717797808525,0.2724078811715132
30,0.45133188366889954,0.9590013001880521,0.22805352629448242
40,0.43630194664001465,0.9675931575324094,0.22258703585139936
50,0.4256312847137451,0.9735236994079096,0.22451071868756006
60,0.41860082745552063,0.9776850721834931,0.22983028028020727
70,0.4148770570755005,0.9805520394744742,0.23269304222674836
80,0.4132838249206543,0.9828271090913969,0.23262453072957343
90,0.41207000613212585,0.9842758646458126,0.23208634535476994
100,0.40976881980895996,0.9855816869943682,0.2316504806180008
