epoch,loss,test_auc,watermark_auc
10,0.6245354413986206,0.9149297413451654,0.4056750356999951
20,0.4392944574356079,0.9777073325249371,0.3737918707604234
30,0.18182507157325745,0.9857310603498647,0.3357640042511937
40,0.1275261789560318,0.9932475028239398,0.33874347244400327
50,0.09196145832538605,0.9966859368592113,0.30000149186056857
60,0.06882595270872116,0.997484136039818,0.27724069845867205
70,0.06032174825668335,0.9979938979952164,0.31233502476831065
80,0.06216724216938019,0.9982073045672112,0.36108602730241846
90,0.04957032576203346,0.9985147697893173,0.3204225969075709
100,0.04532166197896004,0.998491957122092,0.27651632213440797
