Epoch 010 | Loss: 0.6607 | Test AUC: 0.8677 | Watermark AUC: 0.4107
Epoch 020 | Loss: 0.5418 | Test AUC: 0.9128 | Watermark AUC: 0.3714
Epoch 030 | Loss: 0.4783 | Test AUC: 0.9545 | Watermark AUC: 0.3599
Epoch 040 | Loss: 0.4528 | Test AUC: 0.9682 | Watermark AUC: 0.3495
Epoch 050 | Loss: 0.4388 | Test AUC: 0.9760 | Watermark AUC: 0.3092
Epoch 060 | Loss: 0.4302 | Test AUC: 0.9807 | Watermark AUC: 0.3238
Epoch 070 | Loss: 0.4249 | Test AUC: 0.9834 | Watermark AUC: 0.3253
Epoch 080 | Loss: 0.4217 | Test AUC: 0.9857 | Watermark AUC: 0.3183
Epoch 090 | Loss: 0.4188 | Test AUC: 0.9871 | Watermark AUC: 0.3206
Epoch 100 | Loss: 0.4161 | Test AUC: 0.9882 | Watermark AUC: 0.3238
Epoch 010 | Loss: 0.6406 | Test AUC: 0.8804 | Watermark AUC: 0.4103
Epoch 020 | Loss: 0.3343 | Test AUC: 0.9664 | Watermark AUC: 0.3681
Epoch 030 | Loss: 0.1705 | Test AUC: 0.9903 | Watermark AUC: 0.3486
Epoch 040 | Loss: 0.1049 | Test AUC: 0.9967 | Watermark AUC: 0.3038
Epoch 050 | Loss: 0.0686 | Test AUC: 0.9960 | Watermark AUC: 0.2728
Epoch 060 | Loss: 0.0778 | Test AUC: 0.9977 | Watermark AUC: 0.3586
Epoch 070 | Loss: 0.0596 | Test AUC: 0.9981 | Watermark AUC: 0.3041
Epoch 080 | Loss: 0.0508 | Test AUC: 0.9986 | Watermark AUC: 0.2988
Epoch 090 | Loss: 0.0423 | Test AUC: 0.9989 | Watermark AUC: 0.3415
Epoch 100 | Loss: 0.0366 | Test AUC: 0.9990 | Watermark AUC: 0.3911
Epoch 010 | Loss: 0.6266 | Test AUC: 0.9082 | Watermark AUC: 0.3959
Epoch 020 | Loss: 0.4474 | Test AUC: 0.9701 | Watermark AUC: 0.3955
Epoch 030 | Loss: 0.2511 | Test AUC: 0.9841 | Watermark AUC: 0.3335
Epoch 040 | Loss: 0.1566 | Test AUC: 0.9935 | Watermark AUC: 0.3160
Epoch 050 | Loss: 0.1115 | Test AUC: 0.9966 | Watermark AUC: 0.3187
Epoch 060 | Loss: 0.0874 | Test AUC: 0.9979 | Watermark AUC: 0.3787
Epoch 070 | Loss: 0.0690 | Test AUC: 0.9987 | Watermark AUC: 0.4295
Epoch 080 | Loss: 0.0546 | Test AUC: 0.9992 | Watermark AUC: 0.5026
Epoch 090 | Loss: 0.0447 | Test AUC: 0.9994 | Watermark AUC: 0.5981
Epoch 100 | Loss: 0.0402 | Test AUC: 0.9994 | Watermark AUC: 0.7762
Epoch 010 | Loss: 0.6245 | Test AUC: 0.9149 | Watermark AUC: 0.4057
Epoch 020 | Loss: 0.4393 | Test AUC: 0.9777 | Watermark AUC: 0.3738
Epoch 030 | Loss: 0.1818 | Test AUC: 0.9857 | Watermark AUC: 0.3358
Epoch 040 | Loss: 0.1275 | Test AUC: 0.9932 | Watermark AUC: 0.3387
Epoch 050 | Loss: 0.0920 | Test AUC: 0.9967 | Watermark AUC: 0.3000
Epoch 060 | Loss: 0.0688 | Test AUC: 0.9975 | Watermark AUC: 0.2772
Epoch 070 | Loss: 0.0603 | Test AUC: 0.9980 | Watermark AUC: 0.3123
Epoch 080 | Loss: 0.0622 | Test AUC: 0.9982 | Watermark AUC: 0.3611
Epoch 090 | Loss: 0.0496 | Test AUC: 0.9985 | Watermark AUC: 0.3204
Epoch 100 | Loss: 0.0453 | Test AUC: 0.9985 | Watermark AUC: 0.2765
