epoch,loss,test_auc,watermark_auc
10,0.18920454382896423,0.9694527719181918,0.4341780384880237
20,0.1499221920967102,0.9869339181535403,0.43539333969505306
30,0.11373482644557953,0.989645497477985,0.4318702215268325
40,0.09093893319368362,0.9920018195812264,0.39794525701370465
50,0.07670406997203827,0.9932137864118264,0.34540737574342795
60,0.06829123198986053,0.9939294903378488,0.33152357897045936
70,0.060261450707912445,0.994437466648301,0.35885504496627596
80,0.052587807178497314,0.994875310794467,0.35776375466900984
90,0.048943616449832916,0.9951687390251689,0.3768468567829838
100,0.04619360342621803,0.9954391852570033,0.4188617929713121
