epoch,loss,test_auc,watermark_auc
10,0.9724443554878235,0.7854397763996857,0.31624131437106306
20,0.9073604345321655,0.8184775962966198,0.46597831027988834
30,0.8648015260696411,0.831972224648441,0.48918760958503804
40,0.8161866664886475,0.8581098785920168,0.537528410935775
50,0.7872156500816345,0.852170495239759,0.6395415286706929
60,0.76095050573349,0.8439820071621977,0.730963049548672
70,0.7545395493507385,0.8558389378985065,0.7825313332034547
80,0.7340806722640991,0.8611014062363525,0.794025586077018
90,0.7279069423675537,0.8520394794305178,0.8050782518345347
100,0.7222340106964111,0.8553367106297495,0.8149814923046952
