epoch,loss,test_auc,watermark_auc
10,0.80970299243927,0.8317320289981658,0.7561042924865251
20,0.7763893604278564,0.8461000960782601,0.7739041496201052
30,0.7580078840255737,0.8520176434623111,0.7831320215598415
40,0.7468147277832031,0.8554022185343698,0.788541463731411
50,0.7353593111038208,0.86387457419862,0.7963731411130592
60,0.7232910394668579,0.8728709930998341,0.8053737255665953
70,0.7103281021118164,0.8768451393134772,0.813991168257679
80,0.7138379812240601,0.8812341689230501,0.8211929346061432
90,0.7056752443313599,0.8743121670014848,0.8251152672251445
100,0.7034607529640198,0.8688750109179841,0.8305506851094228
