epoch,loss,test_auc,watermark_auc
10,0.4532955288887024,0.9769185113180413,0.25144611882355966
20,0.4334161579608917,0.9821416524413036,0.2324372207683629
30,0.4198659658432007,0.9869813648608796,0.24344699441477843
40,0.41534194350242615,0.9892109152929486,0.24140516883789634
50,0.4116817116737366,0.9907962284019252,0.2393228070439713
60,0.4075043797492981,0.9917622137091626,0.23772862953799406
70,0.40654316544532776,0.9927882487553764,0.2380172173432242
80,0.40340521931648254,0.9935677091943861,0.23631670853295433
90,0.40069636702537537,0.9940916987685653,0.24059254658085638
100,0.39819255471229553,0.9946274017486187,0.24502358931206109
