dataset,query_ratio,val_auc,test_auc,watermark_auc
CA-HepTh,0.2,0.9187,0.4832,N/A
CA-HepTh,0.5,0.5,0.6558,N/A
CA-HepTh,0.4,0.0,0.6303,N/A
CA-HepTh,0.3,0.0,0.6236,N/A
CA-HepTh,0.2,0.9716,0.7215,N/A
CA-HepTh,0.1,0.0,0.6516,N/A
