epoch,loss,test_auc,watermark_auc
10,0.6887154579162598,0.6236201868106297,0.42979665077620155
20,0.6663432121276855,0.6864595535770315,0.4165799803443883
30,0.6196755766868591,0.7535729467997786,0.4111142684030953
40,0.5523003935813904,0.8170143028795969,0.4251840408090978
50,0.48443010449409485,0.8610944017819273,0.4066214744293657
60,0.4602549374103546,0.8857188447595553,0.4076307391598838
70,0.4246790409088135,0.8948680236622474,0.4189644689439291
80,0.40867069363594055,0.9014336854425499,0.4193792563433986
90,0.39369234442710876,0.9094766941570933,0.4183904293220126
100,0.42635732889175415,0.9080116692025122,0.40618421654088493
