epoch,loss,test_auc,watermark_auc
10,0.47168368101119995,0.9638622153549703,0.2776744774867446
20,0.4433784782886505,0.9756883071593078,0.2544601336360022
30,0.4308261573314667,0.9825952133092759,0.23521156929458922
40,0.421939879655838,0.9850286363119436,0.24950287915187244
50,0.41780418157577515,0.987339290959371,0.2462330142365453
60,0.41332706809043884,0.9890346211209906,0.24296239229971905
70,0.4109645485877991,0.9902820247111348,0.2531223853253403
80,0.4091070592403412,0.9911333965659557,0.25062902448373203
90,0.40502339601516724,0.9920136812580614,0.25274787077099065
100,0.40425142645835876,0.9926279678471457,0.25382722972897775
