epoch,loss,test_auc,watermark_auc
10,0.8379501104354858,0.7843043060529304,0.6901287264560503
20,0.7821681499481201,0.8155952484933182,0.724857465276336
30,0.7599779963493347,0.8316228491571316,0.7329470432406845
40,0.7361913919448853,0.8373875447637348,0.7338443730271432
50,0.7391290664672852,0.8417329024368941,0.7374964360552183
60,0.7226005792617798,0.8474539261070836,0.7406421651806517
70,0.7210564017295837,0.8525635426674819,0.7444764622784703
80,0.7159886360168457,0.8591580050659445,0.7480274892020546
90,0.7129648923873901,0.8682199318717793,0.7512913244587649
100,0.7103585004806519,0.8629356275657263,0.7546068311479085
