epoch,loss,test_auc,watermark_auc
10,0.9442977905273438,0.8026683553148748,0.6959770114942528
20,0.886428713798523,0.8264477246921127,0.7301313628899836
30,0.8449434638023376,0.8570180801816751,0.7726600985221674
40,0.8324943780899048,0.8568652284042275,0.7889983579638752
50,0.8168814182281494,0.8578915189099485,0.8044334975369458
60,0.8010721206665039,0.8629356275657263,0.8128899835796388
70,0.7890866994857788,0.8633286749934492,0.8218390804597702
80,0.7810081243515015,0.8568652284042275,0.8310344827586208
90,0.7636899948120117,0.8682199318717791,0.8385878489326767
100,0.7582765817642212,0.8584810900515328,0.8471264367816091
