epoch,loss,test_auc,watermark_auc
10,0.8151336908340454,0.8050266398812124,0.7193397739974009
20,0.7723584771156311,0.7965324482487555,0.738780757156838
30,0.7636655569076538,0.8102891082190584,0.7494351271999956
40,0.7534576654434204,0.8215564678137829,0.7533765355181321
50,0.7391551733016968,0.8283256179579003,0.756185524282177
60,0.7290636301040649,0.8347235566425015,0.7596750343603098
70,0.7235608696937561,0.8435671237662677,0.7658157699115992
80,0.7191540598869324,0.8395056336797975,0.7696181326174268
90,0.7104827165603638,0.8363612542580137,0.772498649653188
100,0.7095158100128174,0.8356625032753953,0.7757501778179464
