epoch,loss,test_auc,watermark_auc
10,0.9319881200790405,0.8665167263516464,0.23334327152934128
20,0.8460833430290222,0.8924796925495676,0.41926329891063113
30,0.7860437631607056,0.8917809415669491,0.5641769034542138
40,0.7667064666748047,0.8759061926805836,0.6728504083127884
50,0.7405686378479004,0.8908201589658484,0.7276678039884699
60,0.727149486541748,0.8790942440387807,0.7466502040226966
70,0.7161130905151367,0.8815398724779457,0.7694363037397923
80,0.7173510193824768,0.8668661018429558,0.7850174341806202
90,0.7119951844215393,0.8592671849069787,0.7825079282738557
100,0.6969060897827148,0.8844877281858677,0.789994999705865
