Epoch 010 | Loss: 0.9320 | Test AUC: 0.8665 | Watermark AUC: 0.2333
Epoch 020 | Loss: 0.8461 | Test AUC: 0.8925 | Watermark AUC: 0.4193
Epoch 030 | Loss: 0.7860 | Test AUC: 0.8918 | Watermark AUC: 0.5642
Epoch 040 | Loss: 0.7667 | Test AUC: 0.8759 | Watermark AUC: 0.6729
Epoch 050 | Loss: 0.7406 | Test AUC: 0.8908 | Watermark AUC: 0.7277
Epoch 060 | Loss: 0.7271 | Test AUC: 0.8791 | Watermark AUC: 0.7467
Epoch 070 | Loss: 0.7161 | Test AUC: 0.8815 | Watermark AUC: 0.7694
Epoch 080 | Loss: 0.7174 | Test AUC: 0.8669 | Watermark AUC: 0.7850
Epoch 090 | Loss: 0.7120 | Test AUC: 0.8593 | Watermark AUC: 0.7825
Epoch 100 | Loss: 0.6969 | Test AUC: 0.8845 | Watermark AUC: 0.7900
