epoch,loss,test_auc,watermark_auc
10,0.802671492099762,0.8079089876845139,0.7617154030557229
20,0.7742471694946289,0.8294610883046555,0.7563028811649881
30,0.7456548810005188,0.8404882522491048,0.7598427558438589
40,0.7423832416534424,0.8456197047777099,0.7674669784432608
50,0.7262030839920044,0.8520613153987248,0.7686309053518099
60,0.7227230072021484,0.8665167263516466,0.7699861432624808
70,0.717362642288208,0.866451218447026,0.7720067104374881
80,0.7137641906738281,0.8631539872477945,0.7713941780406204
90,0.708757221698761,0.8655341077823393,0.7711155525551553
100,0.7042090892791748,0.8581535505284303,0.7704203198549586
