epoch,loss,test_auc,watermark_auc
10,0.9666215181350708,0.8523670189536205,0.22784057795089235
20,0.8892536163330078,0.852803738317757,0.24131549207390354
30,0.8246787786483765,0.8387413747925583,0.3104988212544749
40,0.7852503061294556,0.839920517075727,0.5216862911292034
50,0.7623475193977356,0.8523670189536204,0.6373234987410387
60,0.7313486337661743,0.8387632107607652,0.7018111898834459
70,0.7324661612510681,0.8454013450956417,0.7322518227785739
80,0.7208155989646912,0.8385666870469035,0.7421223524367485
90,0.7158603668212891,0.835051096165604,0.7506746463585956
100,0.7084950804710388,0.8468425189972923,0.7556204261940609
