epoch,loss,test_auc,watermark_auc
10,0.6388435363769531,0.8917647194883939,0.42043294469455855
20,0.5049340724945068,0.9357546376561683,0.38334740568501013
30,0.4704236388206482,0.9604401215881183,0.34861453300131373
40,0.44603514671325684,0.9705739969210052,0.3344044261943634
50,0.4317246377468109,0.9768627614369176,0.31466108170209495
60,0.4217737317085266,0.9804965861352715,0.3620720988142945
70,0.4172590970993042,0.9834047727532538,0.43296811183121975
80,0.41340965032577515,0.9856764321380865,0.4633757702688589
90,0.4101857841014862,0.9870753686497957,0.5111359026369168
100,0.40826553106307983,0.9878856694485758,0.5381936817339775
